O Grinch,2018,6.4,A grumpy Grinch plots to ruin Christmas for the village of Whoville.
A Felicidade Não se Compra,1946,8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
Gran Turismo - De Jogador a Corredor,2023,7.2,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world."
Esqueceram de Mim 2: Perdido em Nova York,1992,6.9,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind."
A Noviça Rebelde,1965,8.1,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
O Menino e a Garça,2023,7.6,"A young boy named Mahito yearning for his mother ventures into a world shared by the living and the dead. There, death comes to an end, and life finds a new beginning. A semi-autobiographical fantasy from the mind of Hayao Miyazaki."
Ferrari,2023,6.8,"Set in the summer of 1957, with Enzo Ferrari's auto empire in crisis, the ex-racer turned entrepreneur pushes himself and his drivers to the edge as they launch into the Mille Miglia, a treacherous 1,000-mile race across Italy."
Trocados,2023,5.6,"When a chance encounter with an astrological reader causes the Walkers to wake up to a full body switch, can they unite to land a promotion, college interview, record deal, and soccer tryout?"
Noite Infeliz,2022,6.7,"When a group of mercenaries attack the estate of a wealthy family, Santa Claus must step in to save the day (and Christmas)."
O Expresso Polar,2004,6.6,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas."
American Fiction,2023,7.8,"A novelist who's fed up with the establishment profiting from ""Black"" entertainment uses a pen name to write a book that propels him to the heart of hypocrisy and the madness he claims to disdain."
Natal Branco,1954,7.6,A successful song-and-dance team become romantically involved with a sister act and team up to save the failing Vermont inn of their former commanding general.
Uma História de Natal,1983,7.9,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
Salaar: Cease Fire - Part 1,2023,6.7,A gang leader tries to keep a promise made to his dying friend and takes on the other criminal gangs.
Entre Amores e Vinhos,2023,6.2,It follows a widow who struggles keeping the local vineyard and raising two young boys. She may be in store for a Christmas miracle when she falls for a big city playboy who is sent to get intel on a prospective vineyard for sale.
O Amor Não Tira Férias,2006,6.9,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
Meu Papai é Noel,1994,6.6,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place."
Priscilla,2023,6.8,"When teenage Priscilla Beaulieu meets Elvis Presley, the man who is already a meteoric rock-and-roll superstar becomes someone entirely unexpected in private moments: a thrilling crush, an ally in loneliness, a vulnerable best friend."
A Fantástica Fábrica de Chocolate,1971,7.8,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
O Homem dos Sonhos,2023,7.1,"A hapless family man finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. When his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom."
Os Fantasmas Contra Atacam,1988,6.9,"A selfish, cynical television executive is haunted by three spirits bearing lessons on Christmas Eve."
Anatomia de Uma Queda,2023,7.8,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the main witness."
A Fuga das Galinhas,2000,7.1,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
Patos!,2023,6.9,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.
Asteroid City,2023,6.5,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever."
The Boys in the Boat,2023,7.3,"A 1930s-set story centered on the University of Washington's rowing team, from their Depression-era beginnings to winning gold at the 1936 Berlin Olympics."
Trolls 3: Juntos Novamente,2023,6.0,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd."
Spirited: Um Conto Natalino,2022,6.6,A musical version of Charles Dickens's story of a miserly misanthrope who is taken on a magical journey.
Super Mario Bros. - O Filme,2023,7.0,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess."
O Assassino,2023,6.8,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal."
Leo,2023,7.0,A 74-year-old lizard named Leo and his turtle friend decide to escape from the terrarium of a Florida school classroom where they have been living for decades.
A Cor Púrpura,2023,7.9,"A woman faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood."
Jogos Vorazes,2012,7.2,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
Wish: O Poder dos Desejos,2023,5.8,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.
X: A Marca da Morte,2022,6.5,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives."
Klaus,2019,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Five Nights at Freddy's - O Pesadelo Sem Fim,2023,5.5,"A troubled security guard begins working at Freddy Fazbear's Pizza. During his first night on the job, he realizes that the night shift won't be so easy to get through. Pretty soon he will unveil what actually happened at Freddy's."
Milagre na Rua 34,1994,6.6,A lawyer and a little girl must prove that a man claiming to be Santa Claus is the real thing.
A Fantástica Fábrica de Chocolate,2005,6.7,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
A Noite das Bruxas,2023,6.5,"In post-World War II Venice, Poirot, now retired and living in his own exile, reluctantly attends a seance. But when one of the guests is murdered, it is up to the former detective to once again uncover the killer."
Homem-Aranha: Através do Aranhaverso,2023,8.6,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
Que Horas Eu Te Pego?,2023,6.4,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying."
Vidas Passadas,2023,8.0,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny."
Percy Jackson e o Ladrão de Raios,2010,5.9,A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.
Pulp Fiction - Tempo de Violência,1994,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Os Fantasmas de Scrooge,2009,6.8,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions."
Missão: Impossível - Acerto de Contas Parte Um,2023,7.7,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
Uma Segunda Chance para Amar,2019,6.5,"Kate is a young woman subscribed to bad decisions. Working as an elf in a year-round Christmas store is not good for the wannabe singer. However, she meets Tom there. Her life takes a new turn--that seems too good to be true."
Mr. Monk's Last Case: A Monk Movie,2023,6.9,"It follows Monk, a brilliant detective with obsessive-compulsive disorder. He returns to solve one last case involving his stepdaughter Molly, a journalist preparing for her wedding."
Batman,2022,7.8,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
Todos Nós Desconhecidos,2023,8.1,"A screenwriter drawn back to his childhood home enters into a fledgling relationship with a mysterious neighbor as he then discovers his parents appear to be living just as they were on the day they died, 30 years before."
Gremlins,1984,7.3,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.
Um Herói de Brinquedo,1996,5.7,"A father vows to get his son a Turbo Man action figure for Christmas. However, every store is sold out, and he must travel all over town and compete with everybody else in order to find one."
Harry Potter e a Pedra Filosofal,2001,7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Esqueceram de Mim 3,1997,4.6,"Alex Pruitt, an 8-year-old boy living in Chicago, must fend off international spies who seek a top-secret computer chip in his toy car."
O Natal dos Muppets,1992,7.8,The Muppets present their own touching rendition of Charles Dickens' classic tale.
Duna,2021,8.0,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Surpresas do Amor,2008,5.7,A couple struggles to visit all four of their divorced parents on Christmas.
Um Sonho de Liberdade,1994,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
